catalyst,Ag_content_at%,CO_pressure,CO_pressure_idx,KOH_M,KOH_idx,slope_alpha,slope_oh,diff_slope
Ag50Pd50,50,100% CO,3,0.5,1,-0.8574205332069659,-1.286381711134777,-0.4289611779278112
Ag50Pd50,50,100% CO,3,1.0,2,-0.7452907933804714,-1.3793385762701862,-0.6340477828897148
Ag75Pd25,75,0.1% CO,0,0.25,0,-1.141242390693252,-3.299846433631321,-2.158604042938069
Ag75Pd25,75,0.1% CO,0,0.5,1,-0.9743061348865716,-3.47011115956826,-2.4958050246816885
Ag75Pd25,75,0.1% CO,0,1.0,2,-0.950807243228974,-3.5705268342185983,-2.6197195909896243
Ag75Pd25,75,1% CO,1,0.25,0,-0.7858120352740999,-2.4251762819694274,-1.6393642466953273
Ag75Pd25,75,1% CO,1,0.5,1,-0.7592749512876591,-2.46833205941678,-1.709057108129121
Ag75Pd25,75,1% CO,1,1.0,2,-0.6827990299268166,-2.5387638170330584,-1.8559647871062417
Ag75Pd25,75,10% CO,2,0.25,0,-0.8690490732516715,-1.9437381852326001,-1.0746891119809288
Ag75Pd25,75,10% CO,2,0.5,1,-0.8357999734916466,-1.9995653687874244,-1.1637653952957778
Ag75Pd25,75,10% CO,2,1.0,2,-0.7694655258651877,-2.024033259841038,-1.2545677339758505
Ag75Pd25,75,100% CO,3,0.25,0,-0.8558174512051009,-1.3294605499376966,-0.4736430987325957
Ag75Pd25,75,100% CO,3,0.5,1,-0.8201863277253403,-1.38679923549519,-0.5666129077698496
Ag75Pd25,75,100% CO,3,1.0,2,-0.7704659558192164,-1.4021662547531368,-0.6317002989339204
Ag90Pd10,90,0.1% CO,0,0.25,0,-1.3881392668672679,-4.374670738381893,-2.986531471514625
Ag90Pd10,90,0.1% CO,0,0.5,1,-1.4496287312026017,-4.411588855113993,-2.9619601239113913
Ag90Pd10,90,0.1% CO,0,1.0,2,-1.2846429075256285,-4.950027664777848,-3.6653847572522196
Ag90Pd10,90,1% CO,1,0.25,0,-1.1242449253316256,-3.434721212523489,-2.3104762871918636
Ag90Pd10,90,1% CO,1,0.5,1,-1.057655645655827,-3.5092571538192097,-2.4516015081633826
Ag90Pd10,90,1% CO,1,1.0,2,-0.9521756732412678,-3.660681572937576,-2.7085058996963083
Ag90Pd10,90,10% CO,2,0.25,0,-0.9576094291731878,-2.87275752344314,-1.9151480942699521
Ag90Pd10,90,10% CO,2,0.5,1,-0.8332616929068806,-2.9100352067351505,-2.07677351382827
Ag90Pd10,90,10% CO,2,1.0,2,-0.8649233905577267,-2.9279139297801398,-2.062990539222413
Ag90Pd10,90,100% CO,3,0.25,0,-0.9546469173024399,-2.1155535829941843,-1.1609066656917444
Ag90Pd10,90,100% CO,3,0.5,1,-0.7557385558953951,-2.1450498093785084,-1.3893112534831134
Ag90Pd10,90,100% CO,3,1.0,2,-0.6586746432272973,-2.161748978733753,-1.5030743355064557
